エクスポート日時(UTC),エクスポート日時(JST),リポジトリ名,フルネーム,説明,ステータス,活動種別,最終活動からの日数,スター数,フォーク数,ウォッチャー数,未解決Issue数,サイズ,使用言語,ライセンス,トピック,アーカイブ状態,公開状態,デフォルトブランチ,Issues有効,Wiki有効,Projects有効,ホームページ,作成日,最終更新日,最終Push日,Issue最終更新日,最新リリース,URL
2025-11-14T14:38:31.473Z,2025-11-14T23:38:31.473+09:00,fullstack-capstone-project,KenichiroArai/fullstack-capstone-project,説明なし,更新が少ない,Push,327,0,0,0,11,49 MB,JavaScript,Apache License 2.0,トピックなし,✅ アクティブ,🔓 パブリック,main,はい,はい,はい,なし,2024-12-17,2024-12-22,2024-12-22,2024-12-17,リリースなし,https://github.com/KenichiroArai/fullstack-capstone-project
2025-11-14T14:38:31.473Z,2025-11-14T23:38:31.473+09:00,rofgy-backend-nodejs-finalproject,KenichiroArai/rofgy-backend-nodejs-finalproject,backend-nodejs-finalproejct,更新が少ない,Push,334,0,0,0,0,51 KB,HTML,Apache License 2.0,トピックなし,✅ アクティブ,🔓 パブリック,main,いいえ,はい,はい,なし,2024-12-15,2024-12-15,2024-12-15,なし,リリースなし,https://github.com/KenichiroArai/rofgy-backend-nodejs-finalproject
2025-11-14T14:38:31.473Z,2025-11-14T23:38:31.473+09:00,abltc-backend-nodejs-customerportal,KenichiroArai/abltc-backend-nodejs-customerportal,backend-nodejs-customerportal,更新が少ない,Push,335,0,0,0,0,166 KB,HTML,Apache License 2.0,トピックなし,✅ アクティブ,🔓 パブリック,main,いいえ,はい,はい,なし,2024-12-12,2024-12-14,2024-12-14,なし,リリースなし,https://github.com/KenichiroArai/abltc-backend-nodejs-customerportal
2025-11-14T14:38:31.473Z,2025-11-14T23:38:31.473+09:00,travelRecommendation,KenichiroArai/travelRecommendation,説明なし,更新が少ない,Push,338,0,0,0,0,1 MB,HTML,ライセンスなし,トピックなし,✅ アクティブ,🔓 パブリック,main,はい,はい,はい,なし,2024-12-10,2024-12-11,2024-12-11,なし,リリースなし,https://github.com/KenichiroArai/travelRecommendation
2025-11-14T14:38:31.473Z,2025-11-14T23:38:31.473+09:00,heath_census,KenichiroArai/heath_census,説明なし,更新が少ない,Push,341,0,0,0,0,4 KB,HTML,ライセンスなし,トピックなし,✅ アクティブ,🔓 パブリック,master,はい,はい,はい,なし,2024-12-08,2024-12-08,2024-12-08,なし,リリースなし,https://github.com/KenichiroArai/heath_census
2025-11-14T14:38:31.473Z,2025-11-14T23:38:31.473+09:00,tc-pipeline,KenichiroArai/tc-pipeline,説明なし,更新が少ない,Push,343,0,0,0,0,67 KB,不明,ライセンスなし,トピックなし,✅ アクティブ,🔓 パブリック,main,いいえ,はい,はい,なし,2024-12-06,2024-12-06,2024-12-06,なし,リリースなし,https://github.com/KenichiroArai/tc-pipeline
2025-11-14T14:38:31.473Z,2025-11-14T23:38:31.473+09:00,tax_calculator,KenichiroArai/tax_calculator,説明なし,更新が少ない,Push,343,0,0,0,0,21 KB,HTML,ライセンスなし,トピックなし,✅ アクティブ,🔓 パブリック,main,いいえ,はい,はい,なし,2024-12-06,2024-12-06,2024-12-06,なし,リリースなし,https://github.com/KenichiroArai/tax_calculator
2025-11-14T14:38:31.473Z,2025-11-14T23:38:31.473+09:00,wtecc-CICD_PracticeCode,KenichiroArai/wtecc-CICD_PracticeCode,CICD_PracticeCode,更新が少ない,Push,344,0,0,0,0,40 KB,Python,Apache License 2.0,トピックなし,✅ アクティブ,🔓 パブリック,main,いいえ,はい,はい,なし,2024-12-05,2024-12-05,2024-12-05,なし,リリースなし,https://github.com/KenichiroArai/wtecc-CICD_PracticeCode
2025-11-14T14:38:31.473Z,2025-11-14T23:38:31.473+09:00,xrwvm-fullstack_developer_capstone,KenichiroArai/xrwvm-fullstack_developer_capstone,fullstack_developer_capstone,更新が少ない,Push,348,0,0,0,0,2 MB,JavaScript,Apache License 2.0,トピックなし,✅ アクティブ,🔓 パブリック,main,いいえ,はい,はい,なし,2024-11-24,2024-12-01,2024-12-01,なし,リリースなし,https://github.com/KenichiroArai/xrwvm-fullstack_developer_capstone
2025-11-14T14:38:31.473Z,2025-11-14T23:38:31.473+09:00,tfjzl-final-cloud-app-with-database,KenichiroArai/tfjzl-final-cloud-app-with-database,final-cloud-app-with-database,更新が少ない,Push,356,0,0,0,0,1006 KB,JavaScript,Apache License 2.0,トピックなし,✅ アクティブ,🔓 パブリック,main,いいえ,はい,はい,なし,2024-11-23,2024-11-23,2024-11-23,なし,リリースなし,https://github.com/KenichiroArai/tfjzl-final-cloud-app-with-database
